1.2,上海-长宁区 | 3-4年经验 | 本科 | 招2人,Python/Django后端软件工程师
0.7,青岛-黄岛区 | 1年经验 | 本科 | 招2人,Python开发工程师（黄岛区）
0.9,广州-天河区 | 3-4年经验 | 本科 | 招若干人,python工程师--系统业务方向（中级）
1.3,成都-高新区 | 3-4年经验 | 本科 | 招2人,Python开发工程师
1.5,上海 | 3-4年经验 | 大专 | 招若干人,Python开发工程师
1.7,广州-黄埔区 | 3-4年经验 | 本科 | 招1人,Python开发工程师（图像算法方向）
1.2,深圳 | 3-4年经验 | 本科 | 招1人,Python开发工程师
1.7,上海-浦东新区 | 3-4年经验 | 本科 | 招3人,Python高级开发工程师
1.4,异地招聘 | 3-4年经验 | 本科 | 招若干人,Python开发工程师
1.7,广州-天河区 | 3-4年经验 | 本科 | 招1人,高级python开发工程师
1.3,武汉-洪山区 | 3-4年经验 | 大专 | 招3人,Python开发工程师
2.4,上海 | 3-4年经验 | 硕士 | 招1人,Python开发工程师
2.8,上海-浦东新区 | 1年经验 | 本科 | 招1人,Python程序员
1.2,广州 | 3-4年经验 | 本科 | 招若干人,Python开发工程师
1.2,北京-海淀区 | 2年经验 | 本科 | 招2人,python开发工程师-北京
0.9,南京-浦口区 | 1年经验 | 本科 | 招若干人,Python开发工程师
1.2,上海-闵行区 | 3-4年经验 | 大专 | 招1人,java/python开发工程师
3.4,北京-海淀区 | 5-7年经验 | 本科 | 招1人,Python高级开发工程师
0.9,北京-海淀区 | 1年经验 | 本科 | 招5人,Python开发工程师
1.0,广州-番禺区 | 3-4年经验 | 本科 | 招1人,Python开发工程师（RPA） (MJ000106)
1.2,上海-闵行区 | 2年经验 | 本科 | 招6人,数据工程师(python编程)
1.3,上海-浦东新区 | 2年经验 | 大专 | 招3人,软件工程师（汽车行业优先）精通python
1.7,广州-海珠区 | 2年经验 | 本科 | 招若干人,Python高级开发工程师
1.0,无锡-滨湖区 | 3-4年经验 | 本科 | 招5人,Python高级开发工程师
1.1,昆明 | 1年经验 | 招1人,Python程序员
1.7,上海-浦东新区 | 5-7年经验 | 本科 | 招2人,Python高级开发工程师
2.8,上海-闵行区 | 5-7年经验 | 本科 | 招1人,python后端开发工程师
0.9,沈阳-浑南区 | 2年经验 | 大专 | 招若干人,Python开发工程师
1.3,南京-江宁区 | 3-4年经验 | 本科 | 招2人,Python开发工程师
1.0,深圳-宝安区 | 1年经验 | 本科 | 招1人,Python开发工程师
1.1,东莞-南城区 | 3-4年经验 | 大专 | 招1人,python爬虫工程师
1.0,广州-越秀区 | 1年经验 | 大专 | 招2人,Python开发工程师
1.2,杭州 | 2年经验 | 本科 | 招若干人,python开发工程师
0.6,南京 | 1年经验 | 大专 | 招若干人,Python开发工程师
1.2,成都 | 3-4年经验 | 本科 | 招1人,Python开发工程师
1.2,武汉-洪山区 | 3-4年经验 | 本科 | 招1人,python工程师（采集方向项目经理级）
1.5,郑州-中原区 | 2年经验 | 本科 | 招2人,201004-Python开发工程师
0.9,重庆-渝北区 | 2年经验 | 本科 | 招1人,Python后台开发工程师
1.2,武汉-东湖新技术产业开发区 | 2年经验 | 本科 | 招1人,Python工程师
